time,factor
2019-01-01 00:00:00+00:00,0.116785 
2019-01-01 01:00:00+00:00,0.119443 
2019-01-01 02:00:00+00:00,0.123297 
2019-01-01 03:00:00+00:00,0.128186 
2019-01-01 04:00:00+00:00,0.134803 
2019-01-01 05:00:00+00:00,0.142171 
2019-01-01 06:00:00+00:00,0.146936 
2019-01-01 07:00:00+00:00,0.149158 
2019-01-01 08:00:00+00:00,0.138335 
2019-01-01 09:00:00+00:00,0.117895 
2019-01-01 10:00:00+00:00,0.123443 
2019-01-01 11:00:00+00:00,0.14287 
2019-01-01 12:00:00+00:00,0.163267 
2019-01-01 13:00:00+00:00,0.17167 
2019-01-01 14:00:00+00:00,0.187751 
2019-01-01 15:00:00+00:00,0.21223 
2019-01-01 16:00:00+00:00,0.241308 
2019-01-01 17:00:00+00:00,0.256325 
2019-01-01 18:00:00+00:00,0.261313 
2019-01-01 19:00:00+00:00,0.260889 
2019-01-01 20:00:00+00:00,0.263935 
2019-01-01 21:00:00+00:00,0.273463 
2019-01-01 22:00:00+00:00,0.282682 
2019-01-01 23:00:00+00:00,0.285613 
2019-01-02 00:00:00+00:00,0.289694 
2019-01-02 01:00:00+00:00,0.301744 
2019-01-02 02:00:00+00:00,0.314488 
2019-01-02 03:00:00+00:00,0.320691 
2019-01-02 04:00:00+00:00,0.326909 
2019-01-02 05:00:00+00:00,0.333306 
2019-01-02 06:00:00+00:00,0.345918 
2019-01-02 07:00:00+00:00,0.354279 
2019-01-02 08:00:00+00:00,0.329581 
2019-01-02 09:00:00+00:00,0.274482 
2019-01-02 10:00:00+00:00,0.260198 
2019-01-02 11:00:00+00:00,0.292491 
2019-01-02 12:00:00+00:00,0.321773 
2019-01-02 13:00:00+00:00,0.327897 
2019-01-02 14:00:00+00:00,0.309569 
2019-01-02 15:00:00+00:00,0.330204 
2019-01-02 16:00:00+00:00,0.373096 
2019-01-02 17:00:00+00:00,0.378744 
2019-01-02 18:00:00+00:00,0.363152 
2019-01-02 19:00:00+00:00,0.339822 
2019-01-02 20:00:00+00:00,0.314401 
2019-01-02 21:00:00+00:00,0.287333 
2019-01-02 22:00:00+00:00,0.256058 
2019-01-02 23:00:00+00:00,0.220648 
2019-01-03 00:00:00+00:00,0.190132 
2019-01-03 01:00:00+00:00,0.165226 
2019-01-03 02:00:00+00:00,0.141219 
2019-01-03 03:00:00+00:00,0.128723 
2019-01-03 04:00:00+00:00,0.123755 
2019-01-03 05:00:00+00:00,0.124273 
2019-01-03 06:00:00+00:00,0.12424 
2019-01-03 07:00:00+00:00,0.126468 
2019-01-03 08:00:00+00:00,0.122568 
2019-01-03 09:00:00+00:00,0.116238 
2019-01-03 10:00:00+00:00,0.115792 
2019-01-03 11:00:00+00:00,0.140298 
2019-01-03 12:00:00+00:00,0.166008 
2019-01-03 13:00:00+00:00,0.181286 
2019-01-03 14:00:00+00:00,0.185406 
2019-01-03 15:00:00+00:00,0.203669 
2019-01-03 16:00:00+00:00,0.240332 
2019-01-03 17:00:00+00:00,0.261695 
