time,factor
2019-01-01 00:00:00+00:00,0.690005 
2019-01-01 01:00:00+00:00,0.69891 
2019-01-01 02:00:00+00:00,0.696746 
2019-01-01 03:00:00+00:00,0.688067 
2019-01-01 04:00:00+00:00,0.658863 
2019-01-01 05:00:00+00:00,0.625884 
2019-01-01 06:00:00+00:00,0.58446 
2019-01-01 07:00:00+00:00,0.545427 
2019-01-01 08:00:00+00:00,0.514148 
2019-01-01 09:00:00+00:00,0.504818 
2019-01-01 10:00:00+00:00,0.508227 
2019-01-01 11:00:00+00:00,0.525377 
2019-01-01 12:00:00+00:00,0.557535 
2019-01-01 13:00:00+00:00,0.584414 
2019-01-01 14:00:00+00:00,0.600383 
2019-01-01 15:00:00+00:00,0.616749 
2019-01-01 16:00:00+00:00,0.620615 
2019-01-01 17:00:00+00:00,0.620514 
2019-01-01 18:00:00+00:00,0.613944 
2019-01-01 19:00:00+00:00,0.602967 
2019-01-01 20:00:00+00:00,0.584646 
2019-01-01 21:00:00+00:00,0.559951 
2019-01-01 22:00:00+00:00,0.530479 
2019-01-01 23:00:00+00:00,0.504546 
2019-01-02 00:00:00+00:00,0.484133 
2019-01-02 01:00:00+00:00,0.461875 
2019-01-02 02:00:00+00:00,0.433737 
2019-01-02 03:00:00+00:00,0.408289 
2019-01-02 04:00:00+00:00,0.391412 
2019-01-02 05:00:00+00:00,0.384501 
2019-01-02 06:00:00+00:00,0.379271 
2019-01-02 07:00:00+00:00,0.368346 
2019-01-02 08:00:00+00:00,0.348749 
2019-01-02 09:00:00+00:00,0.318137 
2019-01-02 10:00:00+00:00,0.285835 
2019-01-02 11:00:00+00:00,0.257826 
2019-01-02 12:00:00+00:00,0.237077 
2019-01-02 13:00:00+00:00,0.220428 
2019-01-02 14:00:00+00:00,0.205516 
2019-01-02 15:00:00+00:00,0.192926 
2019-01-02 16:00:00+00:00,0.181541 
2019-01-02 17:00:00+00:00,0.169942 
2019-01-02 18:00:00+00:00,0.156979 
2019-01-02 19:00:00+00:00,0.146768 
2019-01-02 20:00:00+00:00,0.143916 
2019-01-02 21:00:00+00:00,0.147757 
2019-01-02 22:00:00+00:00,0.152539 
2019-01-02 23:00:00+00:00,0.154887 
2019-01-03 00:00:00+00:00,0.154855 
2019-01-03 01:00:00+00:00,0.153558 
2019-01-03 02:00:00+00:00,0.150599 
2019-01-03 03:00:00+00:00,0.147178 
2019-01-03 04:00:00+00:00,0.14351 
2019-01-03 05:00:00+00:00,0.141217 
2019-01-03 06:00:00+00:00,0.140276 
2019-01-03 07:00:00+00:00,0.136959 
2019-01-03 08:00:00+00:00,0.128185 
2019-01-03 09:00:00+00:00,0.11503 
2019-01-03 10:00:00+00:00,0.105719 
2019-01-03 11:00:00+00:00,0.105121 
2019-01-03 12:00:00+00:00,0.112316 
2019-01-03 13:00:00+00:00,0.125259 
2019-01-03 14:00:00+00:00,0.134866 
2019-01-03 15:00:00+00:00,0.139986 
2019-01-03 16:00:00+00:00,0.141091 
2019-01-03 17:00:00+00:00,0.13685 
2019-01-03 18:00:00+00:00,0.127249 
2019-01-03 19:00:00+00:00,0.117594 
2019-01-03 20:00:00+00:00,0.108284 
2019-01-03 21:00:00+00:00,0.113378 
2019-01-03 22:00:00+00:00,0.128913 
2019-01-03 23:00:00+00:00,0.136014 
2019-01-04 00:00:00+00:00,0.129857 
2019-01-04 01:00:00+00:00,0.129306 
2019-01-04 02:00:00+00:00,0.146893 
2019-01-04 03:00:00+00:00,0.174451 
2019-01-04 04:00:00+00:00,0.204114 
2019-01-04 05:00:00+00:00,0.226388 
2019-01-04 06:00:00+00:00,0.234363 
2019-01-04 07:00:00+00:00,0.243232 
2019-01-04 08:00:00+00:00,0.248315 
2019-01-04 09:00:00+00:00,0.254099 
2019-01-04 10:00:00+00:00,0.26644 
2019-01-04 11:00:00+00:00,0.291045 
2019-01-04 12:00:00+00:00,0.314056 
2019-01-04 13:00:00+00:00,0.330146 
2019-01-04 14:00:00+00:00,0.343843 
2019-01-04 15:00:00+00:00,0.360322 
2019-01-04 16:00:00+00:00,0.369458 
2019-01-04 17:00:00+00:00,0.366728 
2019-01-04 18:00:00+00:00,0.354036 
2019-01-04 19:00:00+00:00,0.336316 
2019-01-04 20:00:00+00:00,0.323552 
2019-01-04 21:00:00+00:00,0.330285 
2019-01-04 22:00:00+00:00,0.346034 
2019-01-04 23:00:00+00:00,0.363974 
2019-01-05 00:00:00+00:00,0.377772 
2019-01-05 01:00:00+00:00,0.379447 
2019-01-05 02:00:00+00:00,0.37571 
2019-01-05 03:00:00+00:00,0.368915 
2019-01-05 04:00:00+00:00,0.359463 
2019-01-05 05:00:00+00:00,0.348797 
2019-01-05 06:00:00+00:00,0.335067 
2019-01-05 07:00:00+00:00,0.325699 
2019-01-05 08:00:00+00:00,0.32019 
2019-01-05 09:00:00+00:00,0.314928 
2019-01-05 10:00:00+00:00,0.313574 
2019-01-05 11:00:00+00:00,0.318297 
2019-01-05 12:00:00+00:00,0.327281 
2019-01-05 13:00:00+00:00,0.329521 
2019-01-05 14:00:00+00:00,0.32327 
2019-01-05 15:00:00+00:00,0.315531 
2019-01-05 16:00:00+00:00,0.305585 
2019-01-05 17:00:00+00:00,0.295083 
2019-01-05 18:00:00+00:00,0.288281 
2019-01-05 19:00:00+00:00,0.285785 
2019-01-05 20:00:00+00:00,0.284208 
2019-01-05 21:00:00+00:00,0.277957 
2019-01-05 22:00:00+00:00,0.266843 
2019-01-05 23:00:00+00:00,0.261578 
2019-01-06 00:00:00+00:00,0.259558 
2019-01-06 01:00:00+00:00,0.249624 
2019-01-06 02:00:00+00:00,0.238574 
2019-01-06 03:00:00+00:00,0.237857 
2019-01-06 04:00:00+00:00,0.248708 
2019-01-06 05:00:00+00:00,0.25853 
2019-01-06 06:00:00+00:00,0.251653 
2019-01-06 07:00:00+00:00,0.230613 
2019-01-06 08:00:00+00:00,0.208052 
2019-01-06 09:00:00+00:00,0.184186 
2019-01-06 10:00:00+00:00,0.156382 
2019-01-06 11:00:00+00:00,0.140308 
2019-01-06 12:00:00+00:00,0.134927 
2019-01-06 13:00:00+00:00,0.127689 
2019-01-06 14:00:00+00:00,0.121544 
2019-01-06 15:00:00+00:00,0.122622 
2019-01-06 16:00:00+00:00,0.128736 
2019-01-06 17:00:00+00:00,0.135309 
