time,factor
2019-01-01 00:00:00+00:00,0.550871 
2019-01-01 01:00:00+00:00,0.500709 
2019-01-01 02:00:00+00:00,0.439036 
2019-01-01 03:00:00+00:00,0.381922 
2019-01-01 04:00:00+00:00,0.342086 
2019-01-01 05:00:00+00:00,0.326572 
2019-01-01 06:00:00+00:00,0.313292 
2019-01-01 07:00:00+00:00,0.305564 
2019-01-01 08:00:00+00:00,0.296171 
2019-01-01 09:00:00+00:00,0.27713 
2019-01-01 10:00:00+00:00,0.247335 
2019-01-01 11:00:00+00:00,0.227085 
2019-01-01 12:00:00+00:00,0.221334 
2019-01-01 13:00:00+00:00,0.216543 
2019-01-01 14:00:00+00:00,0.217218 
2019-01-01 15:00:00+00:00,0.223596 
2019-01-01 16:00:00+00:00,0.224025 
2019-01-01 17:00:00+00:00,0.216229 
2019-01-01 18:00:00+00:00,0.203987 
2019-01-01 19:00:00+00:00,0.190745 
2019-01-01 20:00:00+00:00,0.174193 
2019-01-01 21:00:00+00:00,0.156372 
2019-01-01 22:00:00+00:00,0.137383 
2019-01-01 23:00:00+00:00,0.121723 
2019-01-02 00:00:00+00:00,0.109892 
2019-01-02 01:00:00+00:00,0.100396 
2019-01-02 02:00:00+00:00,0.091438 
2019-01-02 03:00:00+00:00,0.086974 
2019-01-02 04:00:00+00:00,0.087072 
2019-01-02 05:00:00+00:00,0.090296 
2019-01-02 06:00:00+00:00,0.094206 
2019-01-02 07:00:00+00:00,0.096289 
2019-01-02 08:00:00+00:00,0.094347 
2019-01-02 09:00:00+00:00,0.082839 
2019-01-02 10:00:00+00:00,0.067609 
2019-01-02 11:00:00+00:00,0.057528 
2019-01-02 12:00:00+00:00,0.052645 
2019-01-02 13:00:00+00:00,0.048165 
2019-01-02 14:00:00+00:00,0.047302 
2019-01-02 15:00:00+00:00,0.052018 
2019-01-02 16:00:00+00:00,0.058236 
2019-01-02 17:00:00+00:00,0.063854 
2019-01-02 18:00:00+00:00,0.067706 
2019-01-02 19:00:00+00:00,0.069888 
2019-01-02 20:00:00+00:00,0.070444 
2019-01-02 21:00:00+00:00,0.071576 
2019-01-02 22:00:00+00:00,0.073432 
2019-01-02 23:00:00+00:00,0.074785 
2019-01-03 00:00:00+00:00,0.072651 
2019-01-03 01:00:00+00:00,0.067931 
2019-01-03 02:00:00+00:00,0.064602 
2019-01-03 03:00:00+00:00,0.066778 
2019-01-03 04:00:00+00:00,0.073099 
2019-01-03 05:00:00+00:00,0.082547 
2019-01-03 06:00:00+00:00,0.093613 
2019-01-03 07:00:00+00:00,0.103355 
2019-01-03 08:00:00+00:00,0.109498 
2019-01-03 09:00:00+00:00,0.107037 
2019-01-03 10:00:00+00:00,0.094003 
