time,factor
2019-01-01 00:00:00+00:00,0.293167
2019-01-01 01:00:00+00:00,0.297054
2019-01-01 02:00:00+00:00,0.298322
2019-01-01 03:00:00+00:00,0.299175
2019-01-01 04:00:00+00:00,0.301922
2019-01-01 05:00:00+00:00,0.301441
2019-01-01 06:00:00+00:00,0.296575
2019-01-01 07:00:00+00:00,0.288247
2019-01-01 08:00:00+00:00,0.258162
2019-01-01 09:00:00+00:00,0.183594
2019-01-01 10:00:00+00:00,0.127155
2019-01-01 11:00:00+00:00,0.116248
2019-01-01 12:00:00+00:00,0.11277
2019-01-01 13:00:00+00:00,0.1097
2019-01-01 14:00:00+00:00,0.108063
2019-01-01 15:00:00+00:00,0.112966
2019-01-01 16:00:00+00:00,0.145207
2019-01-01 17:00:00+00:00,0.175933
2019-01-01 18:00:00+00:00,0.194517
2019-01-01 19:00:00+00:00,0.213925
2019-01-01 20:00:00+00:00,0.236575
2019-01-01 21:00:00+00:00,0.262195
2019-01-01 22:00:00+00:00,0.287362
2019-01-01 23:00:00+00:00,0.309279
2019-01-02 00:00:00+00:00,0.324315
2019-01-02 01:00:00+00:00,0.338549
2019-01-02 02:00:00+00:00,0.352249
2019-01-02 03:00:00+00:00,0.370556
2019-01-02 04:00:00+00:00,0.388456
2019-01-02 05:00:00+00:00,0.399608
2019-01-02 06:00:00+00:00,0.401822
2019-01-02 07:00:00+00:00,0.40182
2019-01-02 08:00:00+00:00,0.382012
2019-01-02 09:00:00+00:00,0.355212
2019-01-02 10:00:00+00:00,0.360392
2019-01-02 11:00:00+00:00,0.356658
2019-01-02 12:00:00+00:00,0.351892
2019-01-02 13:00:00+00:00,0.346459
2019-01-02 14:00:00+00:00,0.343532
2019-01-02 15:00:00+00:00,0.33628
2019-01-02 16:00:00+00:00,0.367656
2019-01-02 17:00:00+00:00,0.403496
2019-01-02 18:00:00+00:00,0.406719
2019-01-02 19:00:00+00:00,0.402267
2019-01-02 20:00:00+00:00,0.39686
2019-01-02 21:00:00+00:00,0.384361
2019-01-02 22:00:00+00:00,0.364021
2019-01-02 23:00:00+00:00,0.344443
2019-01-03 00:00:00+00:00,0.32616
2019-01-03 01:00:00+00:00,0.314962
2019-01-03 02:00:00+00:00,0.302426
2019-01-03 03:00:00+00:00,0.288959
2019-01-03 04:00:00+00:00,0.281611
2019-01-03 05:00:00+00:00,0.281065
2019-01-03 06:00:00+00:00,0.284865
2019-01-03 07:00:00+00:00,0.285827
2019-01-03 08:00:00+00:00,0.252419
2019-01-03 09:00:00+00:00,0.171521
2019-01-03 10:00:00+00:00,0.152366
2019-01-03 11:00:00+00:00,0.146571
2019-01-03 12:00:00+00:00,0.133578
2019-01-03 13:00:00+00:00,0.126073
2019-01-03 14:00:00+00:00,0.122073
2019-01-03 15:00:00+00:00,0.128491
2019-01-03 16:00:00+00:00,0.159492
2019-01-03 17:00:00+00:00,0.193014
2019-01-03 18:00:00+00:00,0.216943
2019-01-03 19:00:00+00:00,0.237287
2019-01-03 20:00:00+00:00,0.254205
2019-01-03 21:00:00+00:00,0.268646
2019-01-03 22:00:00+00:00,0.276182
2019-01-03 23:00:00+00:00,0.271233
2019-01-04 00:00:00+00:00,0.26001
2019-01-04 01:00:00+00:00,0.254167
2019-01-04 02:00:00+00:00,0.250848
2019-01-04 03:00:00+00:00,0.24524
2019-01-04 04:00:00+00:00,0.241586
2019-01-04 05:00:00+00:00,0.240518
2019-01-04 06:00:00+00:00,0.238456
2019-01-04 07:00:00+00:00,0.236871
2019-01-04 08:00:00+00:00,0.218178
2019-01-04 09:00:00+00:00,0.158382
2019-01-04 10:00:00+00:00,0.131584
2019-01-04 11:00:00+00:00,0.125586
2019-01-04 12:00:00+00:00,0.121736
2019-01-04 13:00:00+00:00,0.122824
2019-01-04 14:00:00+00:00,0.127766
2019-01-04 15:00:00+00:00,0.143773
2019-01-04 16:00:00+00:00,0.188643
2019-01-04 17:00:00+00:00,0.218037
2019-01-04 18:00:00+00:00,0.221307
2019-01-04 19:00:00+00:00,0.213859
2019-01-04 20:00:00+00:00,0.207284
2019-01-04 21:00:00+00:00,0.208309
2019-01-04 22:00:00+00:00,0.214384
2019-01-04 23:00:00+00:00,0.221944
2019-01-05 00:00:00+00:00,0.232642
2019-01-05 01:00:00+00:00,0.247568
2019-01-05 02:00:00+00:00,0.263372
2019-01-05 03:00:00+00:00,0.267956
2019-01-05 04:00:00+00:00,0.264407
2019-01-05 05:00:00+00:00,0.262861
2019-01-05 06:00:00+00:00,0.265278
2019-01-05 07:00:00+00:00,0.272426
2019-01-05 08:00:00+00:00,0.259681
2019-01-05 09:00:00+00:00,0.193933
2019-01-05 10:00:00+00:00,0.159186
2019-01-05 11:00:00+00:00,0.163442
